"ps_genre","ps_avg_price","psa_avg_profit","as_avg_price","asa_avg_profit","avg_total_life_span_profit"
"Racing;Action & Adventure","0","290000","0","290000","460000"
"Books & Reference","0","290000","0","290000","460000"
"Action;Action & Adventure","0","290000","0","290000","460000"
"Trivia","0","290000","0","290000","460000"
"Casual","0","272352.9411764706","0","286470.5882352941","439529.4117647059"
"Arcade","0.11037037037037037","272966.6666666667","0.29444444444444445","283344.44444444444","436755.55555555556"
"Arcade;Action & Adventure","0","275000","0","275000","436000"
"Puzzle;Brain Games","0.995","270050","0.995","285050","435100"
"Racing","0.24916666666666668","270841.6666666667","0.49750000000000005","280016.6666666667","433858.3333333333"
"Puzzle;Action & Adventure","0","260000","0","290000","430000"
