"ps_price","psa_avg_profit","as_avg_price","asa_avg_profit","avg_total_life_span_profit"
"0.99","280000","2.6566666666666667","273400","433400"
"1.2","258000","0.99","290000","428000"
"0","267148.01444043324","0.10415162454873646","261555.23465703972","414421.6606498195"
"1.99","256100","2.5900000000000003","262100","403000"
"2.99","253433.33333333334","3.0455555555555565","254538.88888888888","391972.22222222225"
"3.99","242100","3.3900000000000006","248100","372600"
"4.99","225554.54545454544","4.717272727272729","228281.81818181818","341472.7272727273"
"5.99","240100","5.99","210100","330200"
"6.99","215100","6.99","230100","325200"
"7.99","220100","11.49","185100","285200"
