"name","ps_initial_cost","psa_profit","as_initial_cost","asa_profit","marketing_cost","total_life_span_profit"
"ASOS","10000","290000","10000","320000",132000,"478000"
"Domino's Pizza USA","10000","290000","10000","320000",132000,"478000"
"Egg, Inc.","10000","290000","10000","320000",132000,"478000"
"Geometry Dash Lite","10000","290000","10000","320000",132000,"478000"
"PewDiePie's Tuber Simulator","10000","290000","10000","320000",132000,"478000"
"The Guardian","10000","290000","10000","320000",132000,"478000"
"Cytus","10000","290000","19900","310100",132000,"468100"
"Army of Heroes","10000","290000","10000","290000",120000,"460000"
"Dude Perfect","10000","290000","10000","290000",120000,"460000"
"Seven - 7 Minute Workout Training Challenge","10000","290000","10000","290000",120000,"460000"
